Team,Age,W,L,WL_percent,PW,PL,OPtg,DRtg,NRtg,Pace,FTr,3PAr,TS_percent,eFG_percent_offense,TOV_percent_offense,ORB_percent,FT/FGA_offense,eFG_percent_defense,TOV_percent_defense,DRB_percent,FT/FGA_defense,Year
Miami Heat,29.9,0,4,0,1,3,96.9,108.9,-12,91.6,0.365,0.227,0.512,0.482,14.5,19.6,0.224,0.505,13.9,74.3,0.257,2007
Boston Celtics,28.9,16,10,0.615,18,8,109.4,103.3,6.1,85.9,0.354,0.224,0.541,0.487,12.9,29.5,0.277,0.463,14.4,74.6,0.313,2008
New Orleans Hornets,26.7,7,5,0.583,8,4,111.5,107.3,4.2,86.6,0.25,0.173,0.537,0.499,8.9,24.2,0.193,0.483,12.3,73.2,0.235,2008
Detroit Pistons,28.8,10,7,0.588,10,7,108,105.2,2.8,84.7,0.32,0.179,0.538,0.485,13.2,27.7,0.257,0.478,14.7,68.7,0.275,2008
Cleveland Cavaliers,27.1,7,6,0.538,8,5,104.6,102.1,2.5,85.9,0.395,0.262,0.517,0.465,13.7,29.1,0.285,0.46,13.4,75.2,0.285,2008
Los Angeles Lakers,27.4,14,7,0.667,12,9,110,107.6,2.4,92.7,0.371,0.241,0.56,0.512,12.7,22.2,0.279,0.477,12.3,71.1,0.255,2008
Orlando Magic,26.4,5,5,0.5,6,4,111,109.2,1.8,87.5,0.322,0.336,0.564,0.529,14.4,29,0.229,0.464,8.9,75,0.226,2008
Utah Jazz,25.4,6,6,0.5,6,6,110.1,110.4,-0.3,89.1,0.33,0.204,0.528,0.481,12.1,33.4,0.247,0.49,12.2,73.7,0.314,2008
San Antonio Spurs,31.6,9,8,0.529,8,9,103.9,104.8,-0.9,89.5,0.261,0.252,0.529,0.493,12.6,21.4,0.194,0.486,10.8,77.6,0.197,2008
Phoenix Suns,29.4,1,4,0.2,2,3,104.1,106.1,-2,92.6,0.369,0.18,0.524,0.492,11.5,21.9,0.235,0.493,11.9,76.3,0.216,2008
Houston Rockets,29,2,4,0.333,2,4,103.8,106.7,-2.9,84.8,0.333,0.254,0.488,0.446,10.7,29.8,0.227,0.482,12.4,69.3,0.231,2008
Washington Wizards,27.7,2,4,0.333,2,4,104.9,108.7,-3.8,87.9,0.386,0.262,0.524,0.466,12.3,23.4,0.295,0.485,13.2,67.8,0.265,2008
Toronto Raptors,26.2,1,4,0.2,2,3,110.1,115.2,-5.1,90.3,0.224,0.28,0.528,0.484,9.6,23.1,0.194,0.533,13.3,69.7,0.26,2008
Philadelphia 76ers,25,2,4,0.333,2,4,99.8,107.9,-8.1,86,0.402,0.105,0.488,0.43,14.4,33.9,0.29,0.523,17,67,0.188,2008
Dallas Mavericks,29.6,1,4,0.2,1,4,108,118.2,-10.2,87,0.381,0.264,0.511,0.447,11.2,31.7,0.299,0.527,8.4,75.5,0.206,2008
Denver Nuggets,27.9,0,4,0,1,3,104.3,117.9,-13.6,97.4,0.328,0.203,0.501,0.452,12.5,34.6,0.243,0.536,10.7,74.1,0.24,2008
Atlanta Hawks,23.8,3,4,0.429,1,6,101.6,115.6,-14,85.8,0.441,0.174,0.512,0.439,15.7,30.5,0.345,0.503,10.4,67.3,0.206,2008
Cleveland Cavaliers,27.2,10,4,0.714,11,3,112.6,102.7,9.9,86.1,0.383,0.263,0.556,0.507,12.3,27.6,0.284,0.48,12.5,78.3,0.23,2009
Denver Nuggets,27.8,10,6,0.625,12,4,116.8,107.5,9.3,92.4,0.426,0.269,0.579,0.526,11.5,26.4,0.324,0.493,14.8,74.7,0.326,2009
Los Angeles Lakers,27.3,16,7,0.696,17,6,111.4,103.5,7.9,91.1,0.342,0.229,0.553,0.508,12.3,27.1,0.255,0.471,13.7,73.8,0.27,2009
Orlando Magic,27.3,13,11,0.542,14,10,107.3,105.3,2,89.2,0.36,0.309,0.555,0.513,13.1,21.6,0.26,0.488,12.7,77.2,0.232,2009
Miami Heat,25.6,3,4,0.429,4,3,106.7,105.6,1.1,82.6,0.324,0.287,0.554,0.501,14.4,25.2,0.265,0.464,12.5,73.1,0.261,2009
Boston Celtics,27.4,7,7,0.5,7,7,106.3,106.3,0,91.4,0.309,0.222,0.535,0.485,12.5,25.1,0.245,0.493,13.3,77.8,0.265,2009
Dallas Mavericks,29.1,5,5,0.5,5,5,113,114,-1,89.9,0.375,0.272,0.576,0.518,12.8,24.7,0.305,0.525,11,77.4,0.271,2009
Houston Rockets,26.9,7,6,0.538,6,7,104.7,106.4,-1.7,87.4,0.288,0.265,0.533,0.49,14.2,24.8,0.221,0.487,11.6,73.7,0.21,2009
Chicago Bulls,25.5,3,4,0.429,3,4,105.9,110.1,-4.2,92.6,0.343,0.221,0.54,0.483,13.9,24.3,0.277,0.495,11.6,73.2,0.243,2009
Portland Trail Blazers,24.5,2,4,0.333,2,4,103.9,110.2,-6.3,83.9,0.264,0.19,0.524,0.484,12,23.7,0.201,0.517,12.8,76.1,0.222,2009
San Antonio Spurs,30.6,1,4,0.2,1,4,105.4,112.4,-7,85.7,0.269,0.23,0.528,0.495,11.4,21.3,0.191,0.516,12.1,76.6,0.274,2009
Atlanta Hawks,26.2,4,7,0.364,3,8,102,110.6,-8.6,82.4,0.323,0.238,0.499,0.45,12.6,26.1,0.241,0.514,14.4,69.8,0.263,2009
Philadelphia 76ers,26.6,2,4,0.333,1,5,100.5,109.2,-8.7,88,0.276,0.211,0.526,0.492,14.9,21.3,0.196,0.514,12.9,74.2,0.237,2009
Utah Jazz,25.6,1,4,0.2,1,4,104.2,114.1,-9.9,93.4,0.373,0.18,0.517,0.463,13.4,30.4,0.277,0.546,14.6,73.5,0.271,2009
Detroit Pistons,28.3,0,4,0,0,4,93.6,112.2,-18.6,83.3,0.188,0.159,0.468,0.429,11.9,19.7,0.156,0.498,11.7,73.2,0.349,2009
New Orleans Hornets,28.3,1,4,0.2,0,5,93.7,120.7,-27,89.8,0.399,0.262,0.51,0.439,18.2,22.4,0.322,0.563,12.3,73.5,0.29,2009
Orlando Magic,28,10,4,0.714,11,3,110.8,100.9,9.9,86.5,0.426,0.38,0.574,0.533,14,24.8,0.299,0.458,13.6,77.3,0.269,2010
Phoenix Suns,28.9,10,6,0.625,10,6,117.8,112.7,5.1,90.9,0.353,0.307,0.582,0.536,12,27.4,0.273,0.512,11.1,72.6,0.242,2010
Los Angeles Lakers,29,16,7,0.696,15,8,112.8,108.6,4.2,89.6,0.32,0.255,0.546,0.502,11.9,30.9,0.241,0.475,12,72.4,0.277,2010
Boston Celtics,29.4,15,9,0.625,14,10,104.8,101.7,3.1,89.2,0.341,0.211,0.539,0.491,13.8,23.1,0.258,0.473,15.2,74.6,0.285,2010
Cleveland Cavaliers,29.2,6,5,0.545,6,5,108.2,106.8,1.4,92.6,0.42,0.277,0.568,0.517,14.5,22.1,0.311,0.481,11,75.7,0.24,2010
Dallas Mavericks,31.2,2,4,0.333,3,3,105.1,105.6,-0.5,88.4,0.294,0.244,0.518,0.468,12.7,28.1,0.233,0.486,12.3,74,0.224,2010
Denver Nuggets,27.5,2,4,0.333,3,3,113.9,115.1,-1.2,96,0.469,0.231,0.577,0.517,12.6,25.8,0.359,0.548,13.5,76.9,0.357,2010
Oklahoma City Thunder,22.9,2,4,0.333,3,3,103.6,105.4,-1.8,90.6,0.412,0.236,0.506,0.426,11.9,26.7,0.344,0.488,12.4,73.6,0.196,2010
Utah Jazz,24.8,4,6,0.4,4,6,114,116.4,-2.4,93.9,0.421,0.219,0.568,0.52,12.3,26.5,0.307,0.522,12.1,71,0.327,2010
San Antonio Spurs,29.1,4,6,0.4,4,6,105.7,109.4,-3.7,90.9,0.339,0.181,0.533,0.494,12.3,24,0.236,0.499,12.7,73.6,0.245,2010
Milwaukee Bucks,27.8,3,4,0.429,3,4,105,109.3,-4.3,85.7,0.25,0.268,0.51,0.465,12.3,27.9,0.201,0.482,11.9,66.9,0.201,2010
Atlanta Hawks,26.3,4,7,0.364,3,8,104.3,112.2,-7.9,85.8,0.276,0.171,0.501,0.453,11.6,29.8,0.217,0.515,12.3,72.4,0.224,2010
Miami Heat,27,1,4,0.2,1,4,96.2,105.2,-9,91.1,0.241,0.236,0.513,0.479,17.3,22.6,0.176,0.523,15.6,79.2,0.266,2010
Chicago Bulls,25.6,1,4,0.2,1,4,105,115,-10,92.4,0.265,0.125,0.504,0.457,9.4,25,0.211,0.558,13.2,77,0.249,2010
Charlotte Bobcats,27.6,0,4,0,1,3,100.2,111,-10.8,85.4,0.362,0.241,0.523,0.477,15.9,23,0.259,0.522,13.3,75.2,0.335,2010
Portland Trail Blazers,26.6,2,4,0.333,1,5,106.5,118.3,-11.8,87.3,0.364,0.217,0.522,0.471,11,26.5,0.269,0.536,12.4,71,0.247,2010
Dallas Mavericks,31.6,16,5,0.762,15,6,112.9,106.3,6.6,86.6,0.339,0.297,0.571,0.519,13,25.1,0.274,0.482,13.5,71.7,0.245,2011
Chicago Bulls,26,9,7,0.563,11,5,105.8,100.9,4.9,86.9,0.288,0.238,0.51,0.461,13.1,32.3,0.226,0.462,13.9,76.1,0.256,2011
Miami Heat,28,14,7,0.667,13,8,106.4,103.4,3,86.3,0.379,0.244,0.542,0.485,13.9,26,0.295,0.475,13,75.4,0.215,2011
Orlando Magic,27.2,2,4,0.333,3,3,102.4,100.3,2.1,86.6,0.367,0.31,0.503,0.449,12.7,28.9,0.27,0.465,13.1,76.6,0.205,2011
Oklahoma City Thunder,23.8,9,8,0.529,10,7,109.5,107.5,2,90.8,0.393,0.25,0.548,0.482,14.2,31.3,0.321,0.46,11.4,74.4,0.305,2011
Boston Celtics,29.9,5,4,0.556,5,4,105.1,103.6,1.5,89.1,0.262,0.208,0.552,0.514,15.4,23.6,0.204,0.466,14.2,72.1,0.276,2011
Memphis Grizzlies,26.2,7,6,0.538,6,7,105.4,106.1,-0.7,90,0.335,0.144,0.512,0.46,11.9,28.1,0.255,0.482,14.3,72.2,0.289,2011
Los Angeles Lakers,30.1,4,6,0.4,5,5,107.8,109.3,-1.5,86.5,0.315,0.213,0.526,0.477,12.4,30.8,0.244,0.524,13.7,78.8,0.245,2011
San Antonio Spurs,29.7,2,4,0.333,2,4,102.2,105.6,-3.4,90.8,0.369,0.235,0.526,0.471,13.8,23.6,0.281,0.498,13.1,76.8,0.238,2011
Atlanta Hawks,26.7,6,6,0.5,4,8,100.4,105.5,-5.1,85.9,0.289,0.184,0.505,0.464,12.7,22.9,0.21,0.47,12.4,70.6,0.233,2011
Denver Nuggets,26.4,1,4,0.2,2,3,103.4,108.5,-5.1,94.2,0.468,0.239,0.525,0.468,11.6,17.2,0.33,0.468,12.5,70.8,0.343,2011
Portland Trail Blazers,27.6,2,4,0.333,2,4,106.3,112.5,-6.2,83,0.294,0.228,0.534,0.487,12.2,24.4,0.23,0.507,12.5,71.5,0.253,2011
Indiana Pacers,25.4,1,4,0.2,1,4,100.2,108.5,-8.3,90,0.304,0.192,0.496,0.445,14.3,29.1,0.234,0.461,14.8,63.2,0.291,2011
New Orleans Hornets,26,2,4,0.333,2,4,104.7,113.1,-8.4,85.3,0.36,0.195,0.537,0.488,13.4,21.2,0.267,0.5,12.9,67.7,0.295,2011
Philadelphia 76ers,24.6,1,4,0.2,1,4,100.7,109.3,-8.6,86,0.213,0.201,0.485,0.453,10.6,23.9,0.154,0.462,11.3,69.1,0.303,2011
New York Knicks,26.7,0,4,0,1,3,99,108.2,-9.2,91.7,0.298,0.286,0.483,0.435,14,30.7,0.223,0.52,15.7,69.3,0.174,2011
Miami Heat,28.8,16,7,0.696,17,6,109.6,101.6,8,88,0.364,0.258,0.552,0.505,12.8,26.1,0.271,0.466,14,74,0.229,2012
San Antonio Spurs,28.9,10,4,0.714,10,4,110.3,103.9,6.4,92.4,0.29,0.287,0.574,0.541,13.8,21.8,0.212,0.48,12.6,74.8,0.216,2012
Oklahoma City Thunder,25.7,13,7,0.65,13,7,111.8,107.4,4.4,90.6,0.306,0.24,0.558,0.508,11.3,23.6,0.251,0.491,13.7,74.7,0.262,2012
Indiana Pacers,26.4,6,5,0.545,6,5,102.4,100.9,1.5,88,0.289,0.225,0.507,0.461,14.4,29.8,0.223,0.469,13.2,75.2,0.217,2012
Boston Celtics,30.1,11,9,0.55,11,9,100.4,99.2,1.2,87.8,0.28,0.211,0.516,0.468,13,20.1,0.224,0.464,13.4,75.1,0.203,2012
Memphis Grizzlies,26.1,3,4,0.429,4,3,102.8,102,0.8,87.7,0.403,0.155,0.509,0.449,14.7,32.6,0.3,0.493,15,75.9,0.244,2012
Denver Nuggets,26,3,4,0.429,4,3,107.1,106.6,0.5,90.3,0.227,0.213,0.492,0.46,10.2,33,0.163,0.461,11,66.7,0.186,2012
Philadelphia 76ers,24.7,7,6,0.538,6,7,96.9,98.3,-1.4,88.5,0.312,0.168,0.482,0.436,11.5,23.9,0.225,0.459,14.1,76.8,0.198,2012
Chicago Bulls,27.8,2,4,0.333,3,3,95.7,97.6,-1.9,88.1,0.229,0.157,0.475,0.448,13.9,26.8,0.149,0.428,9.9,78.2,0.248,2012
Los Angeles Lakers,28.5,5,7,0.417,4,8,105.4,110,-4.6,89.2,0.285,0.207,0.502,0.454,11.8,31,0.221,0.474,9.7,69.7,0.2,2012
Los Angeles Clippers,26.8,4,7,0.364,4,7,101.3,106.5,-5.2,88.9,0.315,0.217,0.53,0.499,14.7,22.2,0.21,0.491,14.5,71,0.268,2012
Atlanta Hawks,28.1,2,4,0.333,2,4,91.8,97.1,-5.3,87.9,0.204,0.237,0.475,0.438,15.1,22.6,0.16,0.461,13,82.3,0.211,2012
Dallas Mavericks,32.6,0,4,0,1,3,102.9,110.1,-7.2,90.6,0.343,0.276,0.519,0.455,13.9,24.7,0.285,0.52,12.8,80.5,0.265,2012
Orlando Magic,27.8,1,4,0.2,1,4,94.8,107,-12.2,86.6,0.244,0.316,0.486,0.452,14,22.6,0.172,0.48,13.3,68.4,0.196,2012
New York Knicks,27.9,1,4,0.2,1,4,95.2,111.3,-16.1,86.9,0.297,0.248,0.499,0.451,18.1,30.1,0.226,0.511,13.7,74.1,0.315,2012
Utah Jazz,25,0,4,0,0,4,93.9,111.3,-17.4,91.9,0.306,0.131,0.443,0.395,12.2,32,0.216,0.533,11.6,80.7,0.213,2012
San Antonio Spurs,28.7,15,6,0.714,15,6,108.7,101.1,7.6,89.6,0.261,0.253,0.547,0.511,12.3,23.3,0.199,0.475,12.8,73.8,0.162,2013
Miami Heat,30.1,16,7,0.696,17,6,110.2,102.9,7.3,87.3,0.303,0.264,0.559,0.518,13.1,25.2,0.232,0.48,15.6,71.1,0.237,2013
New York Knicks,29.6,6,6,0.5,7,5,101.4,98.3,3.1,86.6,0.222,0.288,0.498,0.46,11.5,24.2,0.174,0.47,17.1,76.5,0.276,2013
Brooklyn Nets,28.5,3,4,0.429,4,3,107.8,105.6,2.2,88.3,0.304,0.232,0.524,0.479,10.9,27.4,0.23,0.497,12.4,74,0.171,2013
Oklahoma City Thunder,26.9,5,6,0.455,6,5,105.1,103.7,1.4,92.8,0.295,0.303,0.534,0.479,12.9,23,0.247,0.468,12.5,76,0.254,2013
Memphis Grizzlies,27.9,8,7,0.533,8,7,105,104.3,0.7,88.4,0.357,0.182,0.502,0.447,10.2,27.2,0.267,0.493,13.8,77.5,0.219,2013
Golden State Warriors,24.6,6,6,0.5,6,6,106.4,106.2,0.2,94,0.258,0.265,0.546,0.513,14.9,27.5,0.19,0.483,11.9,75,0.234,2013
Indiana Pacers,25.6,11,8,0.579,10,9,104.5,104.4,0.1,87.3,0.384,0.258,0.528,0.475,15.9,32.4,0.284,0.473,11.4,76.8,0.222,2013
Denver Nuggets,26.4,2,4,0.333,2,4,105.9,110.2,-4.3,97.2,0.35,0.265,0.526,0.479,12.9,26.3,0.255,0.554,17,72.9,0.209,2013
Atlanta Hawks,27.3,2,4,0.333,2,4,98,103.6,-5.6,91.2,0.338,0.241,0.503,0.462,12,18.6,0.231,0.455,14.4,70,0.284,2013
Boston Celtics,29.7,2,4,0.333,2,4,92.9,98.9,-6,87.1,0.312,0.3,0.525,0.463,18.1,14,0.268,0.462,12.7,76.3,0.17,2013
Houston Rockets,25.4,2,4,0.333,2,4,105.3,111.4,-6.1,95,0.342,0.416,0.537,0.496,14.5,24.8,0.243,0.511,12,77.2,0.258,2013
Los Angeles Clippers,29.1,2,4,0.333,2,4,107.5,113.8,-6.3,88,0.314,0.254,0.552,0.506,13.5,24.3,0.246,0.486,10.2,73.3,0.344,2013
Chicago Bulls,27.5,5,7,0.417,3,9,102.5,110,-7.5,87.4,0.287,0.213,0.511,0.472,13.7,28.4,0.206,0.501,11.9,74.5,0.255,2013
Milwaukee Bucks,26.1,0,4,0,0,4,94,110.3,-16.3,90.7,0.264,0.3,0.498,0.472,15.9,21.1,0.166,0.544,16.5,70.7,0.255,2013
Los Angeles Lakers,29.2,0,4,0,0,4,92.5,112.9,-20.4,92.1,0.237,0.237,0.495,0.474,16.1,20.2,0.144,0.527,9.8,78.3,0.185,2013
San Antonio Spurs,29.6,16,7,0.696,18,5,114.2,104.2,10,92.7,0.291,0.267,0.583,0.546,12.1,23.6,0.223,0.492,13.4,77.2,0.197,2014
Los Angeles Clippers,28.2,6,7,0.462,7,6,113.3,111.3,2,96,0.334,0.302,0.555,0.515,11.4,26.2,0.244,0.521,14.9,70.4,0.272,2014
Miami Heat,31.1,13,7,0.65,11,9,112.8,110.8,2,86.2,0.305,0.326,0.594,0.555,12.9,17.1,0.238,0.539,14.2,75.3,0.22,2014
Washington Wizards,26.8,6,5,0.545,6,5,102,100.9,1.1,87.8,0.285,0.211,0.504,0.468,12.5,27.9,0.198,0.471,12.7,79.7,0.227,2014
Houston Rockets,25.2,2,4,0.333,3,3,114.8,114.4,0.4,92.7,0.325,0.28,0.534,0.49,11.7,35.3,0.242,0.507,10.6,72.8,0.258,2014
Atlanta Hawks,27.9,3,4,0.429,3,4,101.9,103,-1.1,90.7,0.316,0.417,0.515,0.456,13.1,20.4,0.261,0.5,14.6,76.2,0.22,2014
Indiana Pacers,27.1,10,9,0.526,9,10,103.7,104.8,-1.1,88.3,0.314,0.258,0.54,0.5,13.8,21.1,0.228,0.493,13.6,77,0.218,2014
Oklahoma City Thunder,26.6,10,9,0.526,9,10,108.1,109.2,-1.1,92.3,0.327,0.287,0.551,0.496,14,27.1,0.268,0.485,10.5,74.2,0.212,2014
Brooklyn Nets,30.7,5,7,0.417,5,7,110.5,112,-1.5,86.4,0.33,0.302,0.555,0.514,12.5,25.1,0.243,0.516,13.3,77,0.306,2014
Toronto Raptors,25.2,3,4,0.429,3,4,108.2,110,-1.8,88.8,0.391,0.283,0.553,0.486,15,26.8,0.326,0.506,11.8,77,0.291,2014
Dallas Mavericks,31.3,3,4,0.429,3,4,110,112.1,-2.1,92,0.217,0.259,0.532,0.5,10.7,26.4,0.166,0.542,13.4,76.6,0.245,2014
Golden State Warriors,26.2,3,4,0.429,3,4,110.2,114.8,-4.6,96.6,0.335,0.316,0.558,0.518,15.3,30.8,0.244,0.529,12.9,72.1,0.29,2014
Chicago Bulls,28.6,1,4,0.2,2,3,103,108.3,-5.3,85.6,0.29,0.244,0.508,0.463,13,27.9,0.219,0.479,10.2,72.2,0.225,2014
Memphis Grizzlies,29.7,3,4,0.429,2,5,102.8,108.5,-5.7,88.8,0.293,0.173,0.486,0.442,10.1,27,0.214,0.483,14.1,69,0.263,2014
Portland Trail Blazers,25.8,5,6,0.455,3,8,107.2,113.6,-6.4,94.6,0.281,0.26,0.529,0.482,12.3,26.1,0.224,0.508,10.4,70.6,0.208,2014
Charlotte Hornets,25.5,0,4,0,1,3,101.5,112.3,-10.8,90.6,0.312,0.282,0.537,0.5,14.9,20.8,0.223,0.539,10.7,85.7,0.26,2014
Golden State Warriors,26.4,16,5,0.762,16,5,108.7,100.5,8.2,93.7,0.263,0.362,0.55,0.521,13.5,26.2,0.184,0.458,13.1,75.3,0.228,2015
Cleveland Cavaliers,26.6,14,6,0.7,13,7,107.4,103.1,4.3,90.7,0.325,0.347,0.524,0.479,12,28.1,0.24,0.467,11.1,77.5,0.209,2015
Washington Wizards,27.5,6,4,0.6,6,4,105.8,101.7,4.1,94.6,0.28,0.276,0.533,0.497,13.3,26.8,0.202,0.47,12.2,77.2,0.177,2015
Chicago Bulls,28.7,6,6,0.5,7,5,104.4,100.7,3.7,90.4,0.257,0.294,0.515,0.474,13.1,26.8,0.199,0.452,11.8,74.3,0.198,2015
Los Angeles Clippers,28.8,7,7,0.5,8,6,108.4,107.1,1.3,98.7,0.361,0.3,0.548,0.515,11.8,21.3,0.241,0.505,12.5,75,0.25,2015
San Antonio Spurs,30.3,3,4,0.429,4,3,107.8,107.3,0.5,94.5,0.298,0.307,0.536,0.505,11.2,24.8,0.203,0.509,11.5,78.6,0.224,2015
Atlanta Hawks,27.7,8,8,0.5,8,8,103.4,103.6,-0.2,93.5,0.227,0.335,0.521,0.484,11.9,21.6,0.178,0.486,12.9,74.7,0.184,2015
Memphis Grizzlies,30.3,6,5,0.545,5,6,103,104.4,-1.4,91.9,0.27,0.166,0.503,0.451,10.5,23.7,0.225,0.501,14.1,77.2,0.192,2015
Houston Rockets,28.8,9,8,0.529,7,10,106.6,109,-2.4,101.5,0.44,0.33,0.544,0.505,13.5,23.8,0.288,0.514,12.5,74.4,0.21,2015
Dallas Mavericks,30.4,1,4,0.2,2,3,107.9,112,-4.1,101.9,0.274,0.265,0.534,0.493,12.1,28.1,0.209,0.52,12.4,75.1,0.291,2015
Brooklyn Nets,28.6,2,4,0.333,2,4,100.8,106.5,-5.7,94,0.251,0.289,0.522,0.486,13.4,21,0.186,0.505,12.3,77.8,0.161,2015
Portland Trail Blazers,25.9,1,4,0.2,1,4,101.9,109.3,-7.4,92,0.258,0.313,0.504,0.455,11.1,22.2,0.213,0.465,7.9,78.1,0.254,2015
New Orleans Pelicans,25.1,0,4,0,1,3,106.8,115.2,-8.4,92,0.264,0.252,0.536,0.491,12.6,24.9,0.214,0.516,11,69.1,0.211,2015
Boston Celtics,24.6,0,4,0,1,3,101.5,111.5,-10,93.3,0.308,0.26,0.504,0.453,12.6,22.2,0.239,0.498,11.8,71.9,0.303,2015
Milwaukee Bucks,24.8,2,4,0.333,1,5,91.8,104.6,-12.8,93.1,0.236,0.206,0.455,0.419,11.9,23.9,0.166,0.504,15.7,73.5,0.2,2015
