Team,Age,W,L,WL_percent,PW,PL,OPtg,DRtg,NRtg,Pace,FTr,3PAr,TS_percent,eFG_percent_offense,TOV_percent_offense,ORB_percent,FT/FGA_offense,eFG_percent_defense,TOV_percent_defense,DRB_percent,FT/FGA_defense,Year
Toronto Raptors,25.9,0,4,0,1,3,99.3,113.7,-14.4,94.5,0.241,0.283,0.493,0.459,10.9,19,0.173,0.547,13.3,73,0.25,2015
San Antonio Spurs,30.7,6,4,0.6,8,2,111,101.1,9.9,91.9,0.248,0.232,0.557,0.519,11.2,20.3,0.199,0.467,14.2,71.7,0.208,2016
Cleveland Cavaliers,28,16,5,0.762,16,5,115.5,106,9.5,90.7,0.267,0.37,0.573,0.544,12,26.8,0.193,0.51,12.8,79,0.189,2016
Oklahoma City Thunder,25.6,11,7,0.611,12,6,111.8,106.2,5.6,95.2,0.326,0.295,0.551,0.501,12.6,29.6,0.256,0.499,11.5,78.7,0.191,2016
Golden State Warriors,27.4,15,9,0.625,15,9,110.5,106.1,4.4,97,0.272,0.379,0.562,0.529,12.7,23.9,0.2,0.481,13.1,72.4,0.226,2016
Miami Heat,28.7,7,7,0.5,9,5,105.1,101.7,3.4,90.2,0.264,0.238,0.539,0.5,12.8,23,0.202,0.451,10.4,80.5,0.241,2016
Indiana Pacers,26.4,3,4,0.429,4,3,105.5,103.9,1.6,88.8,0.319,0.284,0.549,0.495,14.5,23.5,0.261,0.437,12.8,67.2,0.246,2016
Los Angeles Clippers,29.3,2,4,0.333,3,3,104.9,103.9,1,93.7,0.345,0.229,0.502,0.471,9,23.5,0.216,0.467,12,71.3,0.193,2016
Atlanta Hawks,28.3,4,6,0.4,5,5,103.5,104.5,-1,95.7,0.242,0.375,0.533,0.494,13.3,20.7,0.192,0.487,12.7,75,0.175,2016
Portland Trail Blazers,24.8,5,6,0.455,5,6,108.1,110.7,-2.6,96.2,0.287,0.351,0.523,0.483,11.5,26.6,0.212,0.507,10.1,75.5,0.22,2016
Toronto Raptors,26.1,10,10,0.5,7,13,102.8,107.5,-4.7,89.4,0.301,0.282,0.507,0.463,12.4,25.1,0.222,0.514,13.6,77.3,0.237,2016
Boston Celtics,25,2,4,0.333,2,4,93.8,100.5,-6.7,98.3,0.235,0.352,0.475,0.432,12.9,21.5,0.184,0.481,13.3,80.6,0.191,2016
Charlotte Hornets,26.9,3,4,0.429,1,6,99.2,109,-9.8,91,0.309,0.231,0.494,0.432,9.4,15.9,0.259,0.517,11.8,75.9,0.186,2016
Detroit Pistons,24.1,0,4,0,1,3,109.4,119.2,-9.8,86.8,0.292,0.309,0.559,0.537,11,18.4,0.189,0.546,8.6,75.5,0.147,2016
Houston Rockets,28.5,1,4,0.2,0,5,92.7,111.8,-19.1,98.4,0.32,0.332,0.467,0.43,16.3,29.9,0.206,0.552,12.9,77.1,0.199,2016
Dallas Mavericks,30.4,1,4,0.2,0,5,102.1,122,-19.9,91.8,0.298,0.264,0.511,0.474,11.4,21.5,0.207,0.537,12,65.5,0.278,2016
Memphis Grizzlies,30.8,0,4,0,0,4,90.9,115.6,-24.7,89.1,0.215,0.197,0.455,0.423,14.8,28.8,0.151,0.552,13.7,77.3,0.246,2016
Golden State Warriors,28.3,16,1,0.941,14,3,119,105.5,13.5,100.3,0.292,0.378,0.608,0.567,12.2,22.4,0.238,0.487,12.3,76.6,0.212,2017
Cleveland Cavaliers,29.3,13,5,0.722,13,5,120.3,112.1,8.2,96.6,0.316,0.408,0.614,0.579,12.1,23.6,0.242,0.521,11.9,76.1,0.189,2017
Houston Rockets,28.1,6,5,0.545,6,5,110.7,109.5,1.2,96.4,0.304,0.452,0.559,0.514,12.7,22.7,0.24,0.502,11.1,71.7,0.187,2017
San Antonio Spurs,29.5,8,8,0.5,9,7,113.4,112.3,1.1,93.2,0.277,0.282,0.551,0.512,11.6,29.1,0.214,0.539,13.1,78.5,0.208,2017
Washington Wizards,26.1,7,6,0.538,7,6,110.9,110.9,0,96.7,0.281,0.302,0.549,0.505,12.3,26.6,0.223,0.525,13.3,76.2,0.244,2017
Milwaukee Bucks,25,2,4,0.333,3,3,103,103.7,-0.7,90.5,0.267,0.277,0.533,0.503,13.2,19.1,0.186,0.494,14.4,80.6,0.279,2017
Atlanta Hawks,27.2,2,4,0.333,3,3,107.3,108.5,-1.2,98.4,0.343,0.323,0.542,0.493,14.1,26.4,0.262,0.502,11.8,77.3,0.227,2017
Los Angeles Clippers,30.9,3,4,0.429,3,4,108.8,110,-1.2,89.8,0.312,0.304,0.558,0.526,12.2,19.9,0.217,0.542,12.4,82.1,0.223,2017
Boston Celtics,25.9,9,9,0.5,7,11,111.4,114.5,-3.1,93.9,0.242,0.41,0.566,0.532,12.6,22.2,0.187,0.531,13.1,71.5,0.227,2017
Indiana Pacers,26.4,0,4,0,2,2,114.7,118.9,-4.2,94.8,0.247,0.33,0.564,0.53,12.1,28.3,0.19,0.565,11.9,75.2,0.233,2017
Utah Jazz,27.8,4,7,0.364,4,7,106.2,111.3,-5.1,92.1,0.298,0.331,0.552,0.515,12,16.7,0.218,0.533,11.4,81.3,0.224,2017
Toronto Raptors,26.9,4,6,0.4,3,7,103.8,109.9,-6.1,93.1,0.283,0.296,0.541,0.493,12.6,17.3,0.23,0.539,13.2,81.3,0.222,2017
Chicago Bulls,26.6,2,4,0.333,2,4,104.8,112.2,-7.4,92.1,0.24,0.285,0.529,0.483,14.4,29.6,0.204,0.534,11.8,78.5,0.163,2017
Oklahoma City Thunder,25.3,1,4,0.2,1,4,105.7,114.4,-8.7,98.6,0.309,0.309,0.525,0.49,11.4,26,0.213,0.513,13.1,74.8,0.32,2017
Memphis Grizzlies,29.7,2,4,0.333,1,5,110.3,119.8,-9.5,85.8,0.263,0.313,0.559,0.51,11.6,20.3,0.229,0.545,11.4,73.9,0.266,2017
Portland Trail Blazers,24.8,0,4,0,0,4,99.3,116.9,-17.6,102.3,0.271,0.38,0.507,0.458,13.2,20.6,0.218,0.556,11.1,81,0.258,2017
Golden State Warriors,28.4,16,5,0.762,17,4,113.9,103.6,10.3,96.5,0.237,0.365,0.581,0.545,11.9,21.8,0.195,0.481,12.3,77.6,0.186,2018
Indiana Pacers,26.2,3,4,0.429,5,2,110.9,104.6,6.3,90.7,0.241,0.339,0.567,0.542,12.9,21.6,0.171,0.503,14.3,77.7,0.238,2018
Philadelphia 76ers,26.5,5,5,0.5,6,4,110.4,106.5,3.9,97.5,0.32,0.331,0.539,0.493,12.6,29.1,0.243,0.514,12.7,80.8,0.232,2018
Houston Rockets,29.8,11,6,0.647,10,7,109.6,107.7,1.9,95.7,0.261,0.466,0.552,0.514,11.3,20,0.201,0.53,13.2,80.1,0.188,2018
Boston Celtics,24.8,11,8,0.579,10,9,107.7,107,0.7,93.1,0.283,0.367,0.541,0.5,11.1,20.4,0.217,0.518,12.9,79.5,0.202,2018
Milwaukee Bucks,25.3,3,4,0.429,3,4,108.8,109.4,-0.6,92.3,0.254,0.328,0.585,0.561,13.1,14.7,0.179,0.503,12.1,75.5,0.219,2018
New Orleans Pelicans,26.8,5,4,0.556,4,5,107.1,107.8,-0.7,102.7,0.204,0.301,0.562,0.533,12.9,17.7,0.16,0.514,12,78.8,0.169,2018
Cleveland Cavaliers,30.3,12,10,0.545,10,12,109.4,111.2,-1.8,91.6,0.282,0.37,0.55,0.512,12.1,23.5,0.212,0.529,11.5,79.4,0.195,2018
Washington Wizards,27,2,4,0.333,3,3,110.3,112.3,-2,97.2,0.274,0.256,0.561,0.513,12.4,21.2,0.233,0.539,13.1,78.1,0.239,2018
Utah Jazz,25.6,5,6,0.455,5,6,104.7,106.9,-2.2,97.8,0.284,0.361,0.549,0.52,14.3,20.8,0.195,0.505,11.6,80.8,0.196,2018
Oklahoma City Thunder,27.9,2,4,0.333,2,4,103.5,107.9,-4.4,97.8,0.245,0.333,0.528,0.49,12.7,20.8,0.189,0.521,13.7,75.4,0.212,2018
Toronto Raptors,26.2,4,6,0.4,4,6,112,116.6,-4.6,94.8,0.29,0.324,0.578,0.536,13.1,23.2,0.232,0.541,10.5,79.1,0.217,2018
Portland Trail Blazers,25.6,0,4,0,1,3,106.9,116,-9.1,98.7,0.173,0.354,0.539,0.512,12.9,23.9,0.135,0.582,13,81.1,0.203,2018
Minnesota Timberwolves,27.6,1,4,0.2,1,4,107,116.2,-9.2,95,0.276,0.264,0.548,0.515,12,20.1,0.201,0.531,7.9,80.3,0.193,2018
San Antonio Spurs,30.2,1,4,0.2,1,4,103.7,113.1,-9.4,93.3,0.274,0.337,0.515,0.463,10.5,18.5,0.229,0.535,12.9,73.7,0.205,2018
Miami Heat,27.5,1,4,0.2,1,4,103,113.7,-10.7,100.4,0.345,0.333,0.542,0.507,14.4,20.7,0.234,0.514,13.6,70.4,0.279,2018
Milwaukee Bucks,27.6,10,5,0.667,11,4,111.1,102.5,8.6,100.1,0.317,0.431,0.56,0.523,11.3,21.5,0.231,0.474,10.8,83,0.207,2019
Toronto Raptors,28.4,16,8,0.667,16,8,110,104.4,5.6,96,0.275,0.406,0.561,0.514,11.2,18.9,0.228,0.491,14,77.7,0.233,2019
Golden State Warriors,29.1,14,8,0.636,13,9,115.3,111.9,3.4,98.1,0.282,0.38,0.589,0.548,13.3,24.8,0.23,0.522,13.1,76.6,0.243,2019
Houston Rockets,29.5,6,5,0.545,7,4,110.9,107.6,3.3,97,0.29,0.51,0.574,0.537,14.3,23.1,0.221,0.499,12.9,75,0.217,2019
Philadelphia 76ers,27.2,7,5,0.583,7,5,109.9,106.8,3.1,98.9,0.301,0.331,0.559,0.514,14.4,27.2,0.238,0.488,11.4,79.5,0.246,2019
Denver Nuggets,25.4,7,7,0.5,8,6,114.4,112.5,1.9,92.6,0.279,0.308,0.538,0.495,8.7,27.3,0.218,0.497,8.8,74.8,0.212,2019
Boston Celtics,26.2,5,4,0.556,4,5,102.2,103.6,-1.4,99.9,0.288,0.392,0.539,0.491,13.5,16.6,0.231,0.491,10.9,82.4,0.199,2019
Portland Trail Blazers,26.6,8,8,0.5,7,9,110.6,112,-1.4,96,0.274,0.363,0.541,0.501,11.3,24.4,0.21,0.503,11.3,72.4,0.234,2019
San Antonio Spurs,28.3,3,4,0.429,3,4,112.4,114.5,-2.1,91.9,0.27,0.233,0.542,0.503,8.1,24.2,0.208,0.516,8.7,76.8,0.177,2019
Oklahoma City Thunder,26.2,1,4,0.2,2,3,105.4,111.2,-5.8,99.9,0.295,0.365,0.541,0.5,13.5,22.7,0.223,0.519,12.7,75.7,0.209,2019
Indiana Pacers,27.7,0,4,0,1,3,96.3,104.2,-7.9,95.3,0.246,0.356,0.496,0.461,11.5,16.6,0.177,0.517,15.2,81.1,0.206,2019
Utah Jazz,27,1,4,0.2,1,4,99.2,108.5,-9.3,98.6,0.296,0.414,0.501,0.455,13.5,24.9,0.222,0.526,13.8,80.5,0.219,2019
Los Angeles Clippers,26.7,2,4,0.333,1,5,111.5,121,-9.5,102.9,0.323,0.355,0.563,0.511,12.8,21.9,0.264,0.574,12.5,74.5,0.251,2019
Brooklyn Nets,25.3,1,4,0.2,1,4,106.7,117.3,-10.6,104.4,0.319,0.372,0.534,0.48,12,22.6,0.258,0.542,13.3,67.9,0.23,2019
Orlando Magic,25.9,1,4,0.2,1,4,96.2,111.2,-15,95.7,0.267,0.419,0.496,0.451,14.4,20.3,0.207,0.55,11.8,82.8,0.161,2019
Detroit Pistons,26.5,0,4,0,0,4,96.8,120.2,-23.4,101.3,0.171,0.344,0.471,0.444,9.2,19.8,0.124,0.583,12.8,76.4,0.246,2019
Los Angeles Lakers,29.3,16,5,0.762,15,6,115.9,108.9,7,97.3,0.293,0.407,0.595,0.561,14,26.1,0.222,0.525,13.6,81.9,0.251,2020
Boston Celtics,25,10,7,0.588,11,6,111.3,106.3,5,96.4,0.285,0.429,0.572,0.527,12.7,21,0.233,0.49,11.5,80.5,0.234,2020
Los Angeles Clippers,27.9,7,6,0.538,8,5,115.4,111.1,4.3,98,0.291,0.38,0.585,0.544,11.8,21.5,0.232,0.542,12.6,80.6,0.209,2020
Toronto Raptors,27.1,7,4,0.636,7,4,108.3,104.2,4.1,99.1,0.24,0.455,0.559,0.525,11.8,17.6,0.187,0.507,13.7,82.2,0.211,2020
Utah Jazz,26.8,3,4,0.429,4,3,122.2,118.5,3.7,91.5,0.284,0.455,0.616,0.583,11.5,22.8,0.22,0.554,11.4,75.1,0.169,2020
Miami Heat,27.1,14,7,0.667,12,9,113.5,111.5,2,95.9,0.322,0.433,0.587,0.537,12.3,19.1,0.266,0.529,13,77.3,0.215,2020
Milwaukee Bucks,29.8,5,5,0.5,5,5,109.7,108.5,1.2,100.3,0.279,0.426,0.568,0.537,13.2,20.5,0.202,0.527,13.5,83.8,0.241,2020
Houston Rockets,30.2,5,7,0.417,6,6,108.3,107.5,0.8,98.6,0.235,0.545,0.569,0.535,12.4,14.6,0.186,0.534,15.4,78,0.209,2020
Denver Nuggets,25.2,9,10,0.474,8,11,113.6,116,-2.4,94.1,0.26,0.392,0.584,0.545,13.2,23,0.212,0.551,12.7,76.8,0.233,2020
Oklahoma City Thunder,25.7,3,4,0.429,2,5,102.4,108.7,-6.3,100.1,0.281,0.428,0.542,0.5,15,20.1,0.217,0.535,11.5,84.6,0.146,2020
Orlando Magic,27,1,4,0.2,1,4,102.5,111.3,-8.8,104.4,0.237,0.449,0.547,0.505,13,13.5,0.199,0.572,14.5,82,0.177,2020
Dallas Mavericks,26.2,2,4,0.333,1,5,112.7,122,-9.3,102.1,0.297,0.421,0.58,0.549,11.2,16.9,0.215,0.579,10.5,80.4,0.248,2020
Portland Trail Blazers,26.6,1,4,0.2,1,4,104.6,115,-10.4,101.9,0.283,0.347,0.537,0.492,13.9,21.4,0.224,0.552,13,72.7,0.222,2020
Indiana Pacers,26.2,0,4,0,1,3,104.2,115.1,-10.9,96.7,0.252,0.399,0.565,0.53,14.6,13.7,0.196,0.545,13.2,76.9,0.288,2020
Philadelphia 76ers,26.4,0,4,0,1,3,105.5,117.9,-12.4,95.2,0.381,0.36,0.512,0.443,10.9,26.8,0.31,0.523,9.7,77.6,0.255,2020
Brooklyn Nets,25.4,0,4,0,0,4,102.2,122,-19.8,103.5,0.268,0.504,0.518,0.482,12.4,18.1,0.195,0.592,10.6,79.1,0.203,2020
Philadelphia 76ers,27.3,7,5,0.583,9,3,116,108.5,7.5,100.2,0.342,0.331,0.589,0.561,11.5,21.3,0.234,0.502,11.2,78.8,0.235,2021
Brooklyn Nets,28.7,7,5,0.583,8,4,116.1,109.6,6.5,96.1,0.235,0.413,0.592,0.551,10.9,19.7,0.204,0.502,11.6,75,0.19,2021
Milwaukee Bucks,29.2,16,7,0.696,15,8,112.9,107.6,5.3,96.9,0.228,0.384,0.55,0.524,11.3,27.8,0.164,0.523,12.2,81.6,0.16,2021
Phoenix Suns,26.6,14,8,0.636,14,8,114.7,110,4.7,95.1,0.219,0.35,0.585,0.547,11.3,19.6,0.188,0.507,10.9,76.1,0.194,2021
Los Angeles Clippers,29.3,10,9,0.526,12,7,120.2,115.9,4.3,92.8,0.29,0.444,0.604,0.562,10.4,21.5,0.238,0.543,11.1,76.9,0.173,2021
Utah Jazz,28.6,6,5,0.545,5,6,121.4,122.3,-0.9,96.3,0.288,0.518,0.616,0.579,12.4,23.7,0.231,0.562,9.6,76.7,0.208,2021
Portland Trail Blazers,28.5,2,4,0.333,3,3,121.6,122.9,-1.3,95,0.257,0.443,0.608,0.567,10.7,22.2,0.219,0.555,9.9,73.5,0.216,2021
Atlanta Hawks,25.6,10,8,0.556,8,10,109.8,111.3,-1.5,96.8,0.241,0.394,0.554,0.516,11.5,20.9,0.192,0.52,11.6,75,0.197,2021
Dallas Mavericks,26.2,3,4,0.429,2,5,115.5,121.1,-5.6,91.8,0.233,0.407,0.559,0.534,10.4,23.7,0.164,0.571,10.9,77.4,0.246,2021
Denver Nuggets,26.3,4,6,0.4,3,7,116.8,122.4,-5.6,96.3,0.227,0.418,0.566,0.536,9.9,25.1,0.172,0.576,10.6,79.6,0.223,2021
Los Angeles Lakers,29.1,2,4,0.333,2,4,104,110.9,-6.9,93.8,0.295,0.396,0.52,0.473,12.9,23.7,0.229,0.53,12.1,80.3,0.212,2021
New York Knicks,27.3,1,4,0.2,1,4,103.5,111,-7.5,93.7,0.252,0.352,0.505,0.458,11.3,24.6,0.206,0.519,10.4,81.2,0.189,2021
Memphis Grizzlies,24,1,4,0.2,1,4,115.6,124,-8.4,99.5,0.216,0.335,0.556,0.523,9.1,23.8,0.172,0.586,12.2,75.4,0.257,2021
Boston Celtics,25,1,4,0.2,1,4,117.1,128.7,-11.6,95.8,0.311,0.415,0.56,0.508,11.5,28.8,0.256,0.582,10.6,73.5,0.296,2021
Washington Wizards,27.4,1,4,0.2,1,4,107.6,121.3,-13.7,102.2,0.327,0.273,0.543,0.498,11.7,23.1,0.246,0.575,10.3,77.4,0.234,2021
Miami Heat,28.8,0,4,0,0,4,96.6,116.8,-20.2,98.9,0.227,0.401,0.499,0.462,12.5,17.1,0.174,0.538,12.6,68.6,0.177,2021
Golden State Warriors,28.2,16,6,0.727,14,8,115.2,110,5.2,97.1,0.23,0.433,0.59,0.561,13.3,23.6,0.176,0.522,12.7,77.5,0.205,2022
Miami Heat,28.3,11,7,0.611,11,7,110.6,106.6,4,94.2,0.253,0.408,0.55,0.509,12,23.3,0.203,0.52,14.9,79.4,0.251,2022
Boston Celtics,26.3,14,10,0.583,15,9,110.7,107,3.7,95.3,0.283,0.448,0.574,0.533,13.8,21.9,0.226,0.501,12.3,76.9,0.181,2022
Memphis Grizzlies,23.9,6,6,0.5,7,5,110.2,107.8,2.4,102.1,0.297,0.392,0.545,0.507,11.9,25.8,0.218,0.53,15.6,77.7,0.211,2022
Milwaukee Bucks,29.5,7,5,0.583,7,5,104.4,102.8,1.6,98.5,0.236,0.367,0.529,0.498,12.4,21.6,0.172,0.499,11.9,83.8,0.168,2022
Dallas Mavericks,27.1,9,9,0.5,9,9,114.9,114.1,0.8,92.6,0.289,0.513,0.584,0.546,10.1,15.7,0.223,0.539,12.8,74.7,0.214,2022
Philadelphia 76ers,27.4,6,6,0.5,6,6,112.3,112,0.3,92.2,0.29,0.426,0.592,0.545,14.3,20.4,0.246,0.512,11,75.8,0.207,2022
Phoenix Suns,27.8,7,6,0.538,6,7,115.6,116.7,-1.1,93.1,0.229,0.328,0.591,0.557,12.7,24.2,0.187,0.539,12.2,73.8,0.237,2022
New Orleans Pelicans,25.5,2,4,0.333,3,3,117.6,119.2,-1.6,93.4,0.342,0.312,0.566,0.518,13,35,0.267,0.575,10.7,80.3,0.193,2022
Brooklyn Nets,29.5,0,4,0,1,3,116.3,121.1,-4.8,93.8,0.33,0.349,0.61,0.577,14.6,23,0.244,0.562,12.9,69.9,0.223,2022
Minnesota Timberwolves,24.8,2,4,0.333,2,4,106.4,111.8,-5.4,102.6,0.341,0.435,0.579,0.527,15.8,17.1,0.276,0.519,13.6,72.5,0.268,2022
Utah Jazz,29.1,2,4,0.333,2,4,108.8,115,-6.2,91,0.335,0.378,0.546,0.495,11.5,22.8,0.264,0.54,8.7,85.5,0.217,2022
Denver Nuggets,28.1,1,4,0.2,1,4,113.6,121.8,-8.2,96.9,0.304,0.379,0.586,0.543,14.9,28,0.242,0.608,12.2,81.4,0.23,2022
Toronto Raptors,25.3,2,4,0.333,2,4,111.2,120.2,-9,91.2,0.244,0.382,0.542,0.503,9.5,23,0.194,0.576,14,76.7,0.275,2022
Atlanta Hawks,25.5,1,4,0.2,1,4,102.3,114.9,-12.6,95.2,0.281,0.448,0.554,0.513,15.7,21.3,0.22,0.542,12.2,79,0.194,2022
Chicago Bulls,26.4,1,4,0.2,1,4,94.9,109.4,-14.5,100.3,0.16,0.408,0.493,0.461,11.9,15.8,0.133,0.553,13.9,81.4,0.17,2022
Denver Nuggets,27.1,3,0,1,3,0,123,106.5,16.5,95.1,0.212,0.359,0.62,0.597,11.3,22.7,0.162,0.517,12.3,84,0.238,2023
Philadelphia 76ers,28.2,3,0,1,3,0,118.8,105,13.8,89.5,0.179,0.434,0.589,0.56,13.7,31.1,0.151,0.528,13.4,85,0.175,2023
Boston Celtics,27.8,2,1,0.667,2,1,116.2,110.3,5.9,101.2,0.165,0.429,0.619,0.6,13.6,19,0.128,0.517,12.9,71.1,0.121,2023
Phoenix Suns,29.8,2,1,0.667,2,1,122,117.2,4.8,98.9,0.365,0.275,0.612,0.565,10.3,24.1,0.29,0.543,13.8,74,0.273,2023
Los Angeles Lakers,27.5,1,1,0.5,1,1,113,109.9,3.1,97.8,0.209,0.356,0.572,0.54,13,24.1,0.169,0.517,10.2,80.7,0.174,2023
New York Knicks,24.7,2,1,0.667,2,1,104.9,102.3,2.6,92.2,0.28,0.364,0.516,0.47,14.6,31.8,0.22,0.502,16.6,72.2,0.175,2023
Golden State Warriors,28.5,1,2,0.333,2,1,111.6,109.6,2,102.5,0.25,0.515,0.568,0.531,14,26.1,0.199,0.486,11.6,71.4,0.223,2023
Milwaukee Bucks,30.8,1,1,0.5,1,1,123.4,122,1.4,103.3,0.158,0.495,0.627,0.611,10.6,20.5,0.121,0.658,15,85.7,0.185,2023
Miami Heat,28.7,1,1,0.5,1,1,122,123.4,-1.4,103.3,0.262,0.363,0.673,0.658,15,14.3,0.185,0.611,10.6,79.5,0.121,2023
Sacramento Kings,25.6,2,1,0.667,1,2,109.6,111.6,-2,102.5,0.298,0.415,0.528,0.486,11.6,28.6,0.223,0.531,14,73.9,0.199,2023
Cleveland Cavaliers,25.1,1,2,0.333,1,2,102.3,104.9,-2.6,92.2,0.246,0.404,0.532,0.502,16.6,27.8,0.175,0.47,14.6,68.2,0.22,2023
Memphis Grizzlies,24.3,1,1,0.5,1,1,109.9,113,-3.1,97.8,0.208,0.404,0.553,0.517,10.2,19.3,0.174,0.54,13,75.9,0.169,2023
Los Angeles Clippers,30.1,1,2,0.333,1,2,117.2,122,-4.8,98.9,0.332,0.375,0.593,0.543,13.8,26,0.273,0.565,10.3,75.9,0.29,2023
Atlanta Hawks,25.3,1,2,0.333,1,2,110.3,116.2,-5.9,101.2,0.159,0.383,0.54,0.517,12.9,28.9,0.121,0.6,13.6,81,0.128,2023
Brooklyn Nets,27.2,0,3,0,0,3,105,118.8,-13.8,89.5,0.236,0.441,0.558,0.528,13.4,15,0.175,0.56,13.7,68.9,0.151,2023
Minnesota Timberwolves,27.3,0,3,0,0,3,106.5,123,-16.5,95.1,0.31,0.393,0.56,0.517,12.3,16,0.238,0.597,11.3,77.3,0.162,2023